year,state,quarter,totalRXImputed
2020,PA,3,10714
2020,PA,4,6524
2020,RI,1,1248
2020,RI,2,1348
2020,RI,3,1363
2020,RI,4,1417
2020,SC,1,2360
2020,SC,2,2271
2020,SC,3,2474
2020,SC,4,1870
2020,SD,1,311
2020,SD,2,342
2020,SD,3,379
2020,SD,4,351
2020,TN,1,5177
2020,TN,2,5466
2020,TN,3,5312
2020,TN,4,5309
2020,TX,1,7968
2020,TX,2,7570
2020,TX,3,7168
2020,TX,4,7122
2020,UT,1,1193
2020,UT,2,1303
2020,UT,3,1185
2020,UT,4,1204
2020,VA,1,8116
2020,VA,2,7566
2020,VA,3,7003
2020,VA,4,6727
2020,VT,1,464
2020,VT,2,454
2020,VT,3,505
2020,VT,4,531
2020,WA,1,7151
2020,WA,2,7106
2020,WA,3,7187
2020,WA,4,6675
2020,WI,1,4638
2020,WI,2,4906
2020,WI,3,5051
2020,WI,4,5185
2020,WV,1,4364
2020,WV,2,4156
2020,WV,3,4027
2020,WV,4,3674
2020,WY,1,246
2020,WY,2,206
2020,WY,3,248
2020,WY,4,232
