year,gennme,state,quarter,totalRXImputed
2018,Febuxostat,ID,4,14
2018,Allopurinol,IL,1,13694
2018,Febuxostat,IL,1,259
2018,Allopurinol,IL,2,13736
2018,Febuxostat,IL,2,208
2018,Allopurinol,IL,3,14139
2018,Febuxostat,IL,3,192
2018,Allopurinol,IL,4,14215
2018,Febuxostat,IL,4,210
2018,Allopurinol,IN,1,5441
2018,Febuxostat,IN,1,351
2018,Allopurinol,IN,2,5602
2018,Febuxostat,IN,2,362
2018,Allopurinol,IN,3,5436
2018,Allopurinol Sodium,IN,3,0
2018,Febuxostat,IN,3,377
2018,Allopurinol,IN,4,5367
2018,Febuxostat,IN,4,371
2018,Allopurinol,KS,1,817
2018,Febuxostat,KS,1,58
2018,Allopurinol,KS,2,774
2018,Febuxostat,KS,2,55
2018,Allopurinol,KS,3,776
2018,Febuxostat,KS,3,52
2018,Allopurinol,KS,4,810
2018,Febuxostat,KS,4,55
2018,Allopurinol,KY,1,10901
2018,Febuxostat,KY,1,714
2018,Allopurinol,KY,2,10979
2018,Febuxostat,KY,2,686
2018,Allopurinol,KY,3,11156
2018,Febuxostat,KY,3,721
2018,Allopurinol,KY,4,11272
2018,Febuxostat,KY,4,711
2018,Allopurinol,LA,1,7907
2018,Febuxostat,LA,1,291
2018,Allopurinol,LA,2,8491
2018,Febuxostat,LA,2,288
2018,Allopurinol,LA,3,8757
2018,Febuxostat,LA,3,289
2018,Allopurinol,LA,4,8782
2018,Febuxostat,LA,4,259
2018,Allopurinol,MA,1,6161
2018,Febuxostat,MA,1,244
2018,Allopurinol,MA,2,7033
2018,Febuxostat,MA,2,266
2018,Allopurinol,MA,3,6489
2018,Febuxostat,MA,3,241
2018,Allopurinol,MA,4,7222
2018,Febuxostat,MA,4,255
2018,Allopurinol,MD,1,5061
2018,Febuxostat,MD,1,256
2018,Allopurinol,MD,2,5098
2018,Febuxostat,MD,2,230
2018,Allopurinol,MD,3,5143
2018,Febuxostat,MD,3,208
2018,Allopurinol,MD,4,5116
2018,Febuxostat,MD,4,215
2018,Allopurinol,ME,1,282
2018,Febuxostat,ME,1,23
2018,Allopurinol,ME,2,281
2018,Febuxostat,ME,2,23
2018,Allopurinol,ME,3,250
2018,Febuxostat,ME,3,23
2018,Allopurinol,ME,4,272
2018,Febuxostat,ME,4,25
2018,Allopurinol,MI,1,13433
2018,Febuxostat,MI,1,280
2018,Allopurinol,MI,2,13681
2018,Febuxostat,MI,2,315
2018,Allopurinol,MI,3,13730
2018,Febuxostat,MI,3,276
2018,Allopurinol,MI,4,13488
2018,Febuxostat,MI,4,309
2018,Allopurinol,MN,1,5796
2018,Febuxostat,MN,1,143
2018,Allopurinol,MN,2,6003
2018,Febuxostat,MN,2,139
2018,Allopurinol,MN,3,5618
2018,Febuxostat,MN,3,138
2018,Allopurinol,MN,4,5584
2018,Febuxostat,MN,4,175
2018,Allopurinol,MO,1,3588
2018,Febuxostat,MO,1,235
2018,Allopurinol,MO,2,3616
2018,Febuxostat,MO,2,241
2018,Allopurinol,MO,3,3604
2018,Febuxostat,MO,3,219
2018,Allopurinol,MO,4,3614
2018,Febuxostat,MO,4,235
2018,Allopurinol,MS,1,1639
2018,Febuxostat,MS,1,73
2018,Allopurinol,MS,2,1699
2018,Febuxostat,MS,2,60
2018,Allopurinol,MS,3,1695
2018,Febuxostat,MS,3,65
2018,Allopurinol,MS,4,1805
2018,Febuxostat,MS,4,58
2018,Allopurinol,MT,1,1237
2018,Febuxostat,MT,1,68
2018,Allopurinol,MT,2,1379
2018,Febuxostat,MT,2,86
2018,Allopurinol,MT,3,1137
2018,Febuxostat,MT,3,88
2018,Allopurinol,MT,4,1385
2018,Febuxostat,MT,4,101
2018,Allopurinol,NC,1,4776
2018,Febuxostat,NC,1,691
2018,Allopurinol,NC,2,3921
2018,Febuxostat,NC,2,582
2018,Allopurinol,NC,3,4605
2018,Febuxostat,NC,3,640
2018,Allopurinol,NC,4,3962
2018,Febuxostat,NC,4,544
2018,Allopurinol,ND,1,252
2018,Febuxostat,ND,1,0
2018,Allopurinol,ND,2,245
2018,Febuxostat,ND,2,0
2018,Allopurinol,ND,3,226
2018,Febuxostat,ND,3,0
2018,Allopurinol,ND,4,185
2018,Febuxostat,ND,4,0
2018,Allopurinol,NE,1,833
2018,Febuxostat,NE,1,26
2018,Allopurinol,NE,2,934
2018,Febuxostat,NE,2,28
2018,Allopurinol,NE,3,744
2018,Febuxostat,NE,3,23
2018,Allopurinol,NE,4,784
2018,Febuxostat,NE,4,22
2018,Allopurinol,NH,1,207
2018,Febuxostat,NH,1,0
2018,Allopurinol,NH,2,240
2018,Febuxostat,NH,2,14
2018,Allopurinol,NH,3,187
2018,Febuxostat,NH,3,0
2018,Allopurinol,NH,4,231
2018,Febuxostat,NH,4,17
2018,Allopurinol,NJ,1,6295
2018,Febuxostat,NJ,1,384
2018,Allopurinol,NJ,2,6273
2018,Febuxostat,NJ,2,368
2018,Allopurinol,NJ,3,6279
2018,Febuxostat,NJ,3,350
2018,Allopurinol,NJ,4,6084
2018,Febuxostat,NJ,4,338
2018,Allopurinol,NM,1,2516
2018,Febuxostat,NM,1,92
2018,Allopurinol,NM,2,2004
2018,Febuxostat,NM,2,78
2018,Allopurinol,NM,3,2410
2018,Febuxostat,NM,3,90
2018,Allopurinol,NM,4,2019
2018,Febuxostat,NM,4,64
2018,Allopurinol,NV,1,3521
2018,Febuxostat,NV,1,137
2018,Allopurinol,NV,2,3537
2018,Febuxostat,NV,2,196
2018,Allopurinol,NV,3,3411
2018,Febuxostat,NV,3,178
2018,Allopurinol,NV,4,3406
2018,Febuxostat,NV,4,179
2018,Allopurinol,NY,1,25962
2018,Febuxostat,NY,1,1686
2018,Allopurinol,NY,2,26532
2018,Febuxostat,NY,2,1658
2018,Allopurinol,NY,3,26116
2018,Febuxostat,NY,3,1633
2018,Allopurinol,NY,4,23934
2018,Febuxostat,NY,4,1645
2018,Allopurinol,OH,1,18407
2018,Febuxostat,OH,1,800
2018,Allopurinol,OH,2,20133
2018,Febuxostat,OH,2,878
2018,Allopurinol,OH,3,18867
2018,Febuxostat,OH,3,840
2018,Allopurinol,OH,4,18779
2018,Febuxostat,OH,4,808
2018,Allopurinol,OK,1,1065
2018,Febuxostat,OK,1,64
2018,Allopurinol,OK,2,1052
2018,Febuxostat,OK,2,65
2018,Allopurinol,OK,3,1077
2018,Febuxostat,OK,3,62
2018,Allopurinol,OK,4,1115
2018,Febuxostat,OK,4,65
2018,Allopurinol,OR,1,4690
2018,Febuxostat,OR,1,143
2018,Allopurinol,OR,2,4799
2018,Febuxostat,OR,2,127
2018,Allopurinol,OR,3,4778
2018,Febuxostat,OR,3,114
2018,Allopurinol,OR,4,4746
2018,Febuxostat,OR,4,102
2018,Allopurinol,PA,1,11920
2018,Febuxostat,PA,1,386
2018,Allopurinol,PA,2,12413
2018,Febuxostat,PA,2,407
2018,Allopurinol,PA,3,12257
2018,Febuxostat,PA,3,407
2018,Allopurinol,PA,4,11995
